order_id,order_datetime,customer_id,product_id,quantity,unit_price,discount_pct,payment_method,sales_channel,updated_at,source_batch,_is_duplicate,gross_amount,net_amount,reason_code
O000339,2026-03-15 12:23:00,C0146,P014,,358.74,0,Credit Card,Online,2026-03-16 23:59:00,orders_batch_1,False,,,INVALID_QUANTITY_TYPE;INVALID_QUANTITY_RANGE
O000356,2026-01-19 11:29:00,C0146,P042,-2.0,733.19,0,Bank Transfer,Store,2026-01-20 23:59:00,orders_batch_1,False,-1466.38,-1466.38,INVALID_QUANTITY_RANGE
O000381,2026-01-17 13:54:00,C0054,P005,1.0,,10,Credit Card,Marketplace,2026-01-18 23:59:00,orders_batch_1,False,,,INVALID_PRICE_TYPE;INVALID_PRICE_RANGE
O000388,,C0086,P027,1.0,817.79,15,Bank Transfer,Marketplace,2026-01-25 23:59:00,orders_batch_1,False,817.79,695.1215,INVALID_DATETIME
O000393,,C0148,P037,5.0,185.91,10,Bank Transfer,Online,2026-02-25 23:59:00,orders_batch_1,False,929.55,836.595,INVALID_DATETIME
O000404,2026-01-30 04:14:00,C0163,P016,5.0,878.59,120,Credit Card,Store,2026-01-31 23:59:00,orders_batch_1,False,4392.95,-878.5899999999998,INVALID_DISCOUNT_RANGE
O000415,2026-01-12 21:48:00,,P030,1.0,915.53,10,Credit Card,Marketplace,2026-01-13 23:59:00,orders_batch_1,False,915.53,823.977,FK_CUSTOMER_NOT_FOUND
O000417,2026-02-09 22:58:00,C0021,P011,3.0,,0,Bank Transfer,Marketplace,2026-02-10 23:59:00,orders_batch_1,False,,,INVALID_PRICE_TYPE;INVALID_PRICE_RANGE
O000083,2026-02-05 11:37:00,,P039,4.0,688.83,5,Cash,Online,2026-02-06 23:59:00,orders_batch_1,False,2755.32,2617.554,FK_CUSTOMER_NOT_FOUND
O000089,2026-03-04 08:25:00,C0030,P035,-2.0,997.99,10,Credit Card,Online,2026-03-05 23:59:00,orders_batch_1,False,-1995.98,-1796.382,INVALID_QUANTITY_RANGE
O000097,,C0110,P040,5.0,1472.44,0,Bank Transfer,Online,2026-03-03 23:59:00,orders_batch_1,False,7362.200000000001,7362.200000000001,INVALID_DATETIME
O000101,2026-02-28 22:40:00,C0151,P029,3.0,450.41,120,Credit Card,Store,2026-03-01 23:59:00,orders_batch_1,False,1351.23,-270.2459999999999,INVALID_DISCOUNT_RANGE
O000107,2026-03-03 15:13:00,C0130,P999,1.0,766.0,15,PromptPay,Store,2026-03-04 23:59:00,orders_batch_1,False,766.0,651.1,FK_PRODUCT_NOT_FOUND
O000113,2026-01-03 03:35:00,C0039,P011,,616.6,0,PromptPay,Marketplace,2026-01-04 23:59:00,orders_batch_1,False,,,INVALID_QUANTITY_TYPE;INVALID_QUANTITY_RANGE
O000127,2026-02-14 13:29:00,C0009,P038,1.0,,0,Credit Card,Marketplace,2026-02-15 23:59:00,orders_batch_1,False,,,INVALID_PRICE_TYPE;INVALID_PRICE_RANGE
O000131,,C0152,P037,1.0,185.91,5,Bank Transfer,Marketplace,2026-02-17 23:59:00,orders_batch_1,False,185.91,176.6145,INVALID_DATETIME
O000139,2026-02-03 21:12:00,C0072,P039,4.0,,5,Cash,Online,2026-02-04 23:59:00,orders_batch_1,False,,,INVALID_PRICE_TYPE;INVALID_PRICE_RANGE
O000149,2026-01-08 12:33:00,C9999,P039,4.0,688.83,10,PromptPay,Marketplace,2026-01-09 23:59:00,orders_batch_1,False,2755.32,2479.788,FK_CUSTOMER_NOT_FOUND
O000166,2026-01-18 04:01:00,,P027,4.0,817.79,10,PromptPay,Online,2026-01-19 23:59:00,orders_batch_1,False,3271.16,2944.044,FK_CUSTOMER_NOT_FOUND
O000178,2026-02-16 01:47:00,C0061,P026,-2.0,1185.43,0,PromptPay,Marketplace,2026-02-17 23:59:00,orders_batch_1,False,-2370.86,-2370.86,INVALID_QUANTITY_RANGE
O000194,,C0075,P003,3.0,344.85,10,Cash,Online,2026-03-20 23:59:00,orders_batch_1,False,1034.5500000000002,931.0950000000001,INVALID_DATETIME
O000202,2026-01-15 10:38:00,C0161,P031,3.0,599.9,120,Credit Card,Online,2026-01-16 23:59:00,orders_batch_1,False,1799.6999999999998,-359.9399999999999,INVALID_DISCOUNT_RANGE
O000214,2026-01-04 07:12:00,C0043,P999,6.0,1451.77,0,PromptPay,Store,2026-01-05 23:59:00,orders_batch_1,False,8710.619999999999,8710.619999999999,FK_PRODUCT_NOT_FOUND
O000226,2026-03-21 10:12:00,C0153,P017,,1281.37,0,Bank Transfer,Online,2026-03-22 23:59:00,orders_batch_1,False,,,INVALID_QUANTITY_TYPE;INVALID_QUANTITY_RANGE
O000249,2026-02-07 21:50:00,,P025,5.0,833.67,15,Credit Card,Online,2026-02-08 23:59:00,orders_batch_1,False,4168.349999999999,3543.0974999999994,FK_CUSTOMER_NOT_FOUND
O000254,2026-01-04 03:25:00,C0002,P043,6.0,,15,PromptPay,Online,2026-01-05 23:59:00,orders_batch_1,False,,,INVALID_PRICE_TYPE;INVALID_PRICE_RANGE
O000262,,C0097,P044,5.0,766.0,0,Credit Card,Store,2026-02-03 23:59:00,orders_batch_1,False,3830.0,3830.0,INVALID_DATETIME
O000267,2026-01-02 16:42:00,C0095,P042,-2.0,733.19,0,PromptPay,Marketplace,2026-01-03 23:59:00,orders_batch_1,False,-1466.38,-1466.38,INVALID_QUANTITY_RANGE
O000278,2026-02-01 02:14:00,C0022,P035,4.0,,0,PromptPay,Marketplace,2026-02-02 23:59:00,orders_batch_1,False,,,INVALID_PRICE_TYPE;INVALID_PRICE_RANGE
O000291,,C0165,P041,2.0,1291.92,0,Cash,Online,2026-01-06 23:59:00,orders_batch_1,False,2583.84,2583.84,INVALID_DATETIME
O000298,2026-01-14 00:46:00,C9999,P037,2.0,185.91,10,Bank Transfer,Store,2026-01-15 23:59:00,orders_batch_1,False,371.82,334.638,FK_CUSTOMER_NOT_FOUND
O000303,2026-03-02 22:11:00,C0137,P007,4.0,619.54,120,PromptPay,Online,2026-03-03 23:59:00,orders_batch_1,False,2478.16,-495.63199999999983,INVALID_DISCOUNT_RANGE
O000321,2026-01-12 07:42:00,C0073,P999,5.0,624.66,10,Bank Transfer,Online,2026-01-13 23:59:00,orders_batch_1,False,3123.2999999999997,2810.97,FK_PRODUCT_NOT_FOUND
O000332,2026-02-18 19:38:00,,P017,4.0,1281.37,0,Bank Transfer,Marketplace,2026-02-19 23:59:00,orders_batch_1,False,5125.48,5125.48,FK_CUSTOMER_NOT_FOUND
O000339,2026-03-15 12:23:00,C0146,P014,,358.74,0,Credit Card,Online,2026-03-16 23:59:00,orders_batch_1,False,,,INVALID_QUANTITY_TYPE;INVALID_QUANTITY_RANGE
O000356,2026-01-19 11:29:00,C0146,P042,-2.0,733.19,0,Bank Transfer,Store,2026-01-20 23:59:00,orders_batch_1,False,-1466.38,-1466.38,INVALID_QUANTITY_RANGE
O000381,2026-01-17 13:54:00,C0054,P005,1.0,,10,Credit Card,Marketplace,2026-01-18 23:59:00,orders_batch_1,False,,,INVALID_PRICE_TYPE;INVALID_PRICE_RANGE
O000388,,C0086,P027,1.0,817.79,15,Bank Transfer,Marketplace,2026-01-25 23:59:00,orders_batch_1,False,817.79,695.1215,INVALID_DATETIME
O000393,,C0148,P037,5.0,185.91,10,Bank Transfer,Online,2026-02-25 23:59:00,orders_batch_1,False,929.55,836.595,INVALID_DATETIME
O000404,2026-01-30 04:14:00,C0163,P016,5.0,878.59,120,Credit Card,Store,2026-01-31 23:59:00,orders_batch_1,False,4392.95,-878.5899999999998,INVALID_DISCOUNT_RANGE
O000415,2026-01-12 21:48:00,,P030,1.0,915.53,10,Credit Card,Marketplace,2026-01-13 23:59:00,orders_batch_1,False,915.53,823.977,FK_CUSTOMER_NOT_FOUND
O000417,2026-02-09 22:58:00,C0021,P011,3.0,,0,Bank Transfer,Marketplace,2026-02-10 23:59:00,orders_batch_1,False,,,INVALID_PRICE_TYPE;INVALID_PRICE_RANGE
O000428,2026-04-04 13:52:00,C0150,P999,4.0,450.41,15,PromptPay,Marketplace,2026-04-06 23:59:00,orders_batch_2,True,1801.64,1531.394,FK_PRODUCT_NOT_FOUND;DUPLICATE_OLD_VERSION
O000445,2026-03-24 01:46:00,C0015,P039,-2.0,688.83,0,PromptPay,Store,2026-03-26 23:59:00,orders_batch_2,True,-1377.66,-1377.66,INVALID_QUANTITY_RANGE;DUPLICATE_OLD_VERSION
O000447,2026-02-16 15:50:00,C9999,P001,4.0,29.67,5,PromptPay,Online,2026-02-18 23:59:00,orders_batch_2,False,118.68,112.746,FK_CUSTOMER_NOT_FOUND
O000452,2026-04-05 15:06:00,C0126,P036,,220.86,0,Credit Card,Store,2026-04-07 23:59:00,orders_batch_2,False,,,INVALID_QUANTITY_TYPE;INVALID_QUANTITY_RANGE
O000480,2026-02-18 11:01:00,C0050,P044,2.0,766.0,0,Credit Card,Marketplace,2026-02-20 23:59:00,orders_batch_2,True,1532.0,1532.0,DUPLICATE_OLD_VERSION
O000485,,C0077,P010,4.0,1366.97,5,Bank Transfer,Online,2026-05-05 23:59:00,orders_batch_2,False,5467.88,5194.486,INVALID_DATETIME
O000498,2026-04-30 23:16:00,,P035,3.0,997.99,0,Credit Card,Marketplace,2026-05-02 23:59:00,orders_batch_2,False,2993.9700000000003,2993.9700000000003,FK_CUSTOMER_NOT_FOUND
O000505,2026-03-25 23:29:00,C0154,P009,4.0,192.56,120,Cash,Marketplace,2026-03-27 23:59:00,orders_batch_2,False,770.24,-154.04799999999997,INVALID_DISCOUNT_RANGE
O000508,2026-04-30 07:07:00,C0036,P013,5.0,,15,Credit Card,Online,2026-05-02 23:59:00,orders_batch_2,False,,,INVALID_PRICE_TYPE;INVALID_PRICE_RANGE
O000524,,C0075,P009,3.0,192.56,0,Bank Transfer,Marketplace,2026-03-08 23:59:00,orders_batch_2,False,577.6800000000001,577.6800000000001,INVALID_DATETIME
O000534,2026-03-22 19:50:00,C0044,P004,-2.0,1451.77,0,Bank Transfer,Online,2026-03-24 23:59:00,orders_batch_2,False,-2903.54,-2903.54,INVALID_QUANTITY_RANGE
O000535,2026-04-17 04:13:00,C0100,P999,5.0,649.9,15,Bank Transfer,Store,2026-04-19 23:59:00,orders_batch_2,False,3249.5,2762.075,FK_PRODUCT_NOT_FOUND
O000556,2026-04-21 06:20:00,C0177,P001,6.0,,0,PromptPay,Store,2026-04-23 23:59:00,orders_batch_2,False,,,INVALID_PRICE_TYPE;INVALID_PRICE_RANGE
O000565,2026-04-14 04:24:00,C0009,P033,,654.4,5,Cash,Marketplace,2026-04-16 23:59:00,orders_batch_2,False,,,INVALID_QUANTITY_TYPE;INVALID_QUANTITY_RANGE
O000581,2026-04-23 12:25:00,,P010,3.0,1366.97,15,Credit Card,Online,2026-04-25 23:59:00,orders_batch_2,False,4100.91,3485.7735,FK_CUSTOMER_NOT_FOUND
O000582,,C0140,P009,4.0,192.56,0,PromptPay,Online,2026-04-22 23:59:00,orders_batch_2,False,770.24,770.24,INVALID_DATETIME
O000596,2026-03-31 05:33:00,C9999,P036,5.0,220.86,0,Cash,Online,2026-04-02 23:59:00,orders_batch_2,False,1104.3000000000002,1104.3000000000002,FK_CUSTOMER_NOT_FOUND
O000606,2026-03-22 11:21:00,C0125,P042,6.0,733.19,120,Credit Card,Store,2026-03-24 23:59:00,orders_batch_2,False,4399.14,-879.8279999999999,INVALID_DISCOUNT_RANGE
O000623,2026-02-16 02:04:00,C0086,P041,-2.0,1291.92,15,Credit Card,Online,2026-02-18 23:59:00,orders_batch_2,False,-2583.84,-2196.264,INVALID_QUANTITY_RANGE
O000635,2026-04-22 15:41:00,C0153,P010,1.0,,0,Credit Card,Store,2026-04-24 23:59:00,orders_batch_2,False,,,INVALID_PRICE_TYPE;INVALID_PRICE_RANGE
O000642,2026-02-17 10:10:00,C0018,P999,5.0,979.4,5,Credit Card,Online,2026-02-19 23:59:00,orders_batch_2,False,4897.0,4652.15,FK_PRODUCT_NOT_FOUND
O000655,,C0147,P037,3.0,185.91,0,Bank Transfer,Online,2026-04-24 23:59:00,orders_batch_2,False,557.73,557.73,INVALID_DATETIME
O000664,2026-04-11 00:34:00,,P004,3.0,1451.77,15,Bank Transfer,Store,2026-04-13 23:59:00,orders_batch_2,False,4355.3099999999995,3702.0134999999996,FK_CUSTOMER_NOT_FOUND
O000678,2026-02-16 02:58:00,C0137,P046,,187.09,0,PromptPay,Store,2026-02-18 23:59:00,orders_batch_2,False,,,INVALID_QUANTITY_TYPE;INVALID_QUANTITY_RANGE
O000679,,C0075,P040,2.0,1472.44,0,PromptPay,Online,2026-04-04 23:59:00,orders_batch_2,False,2944.88,2944.88,INVALID_DATETIME
O000695,2026-04-06 11:55:00,C0119,P017,3.0,,15,Cash,Marketplace,2026-04-08 23:59:00,orders_batch_2,False,,,INVALID_PRICE_TYPE;INVALID_PRICE_RANGE
O000707,2026-03-02 09:06:00,C0079,P044,2.0,766.0,120,Bank Transfer,Store,2026-03-04 23:59:00,orders_batch_2,False,1532.0,-306.3999999999999,INVALID_DISCOUNT_RANGE
O000712,2026-02-15 22:17:00,C0026,P040,-2.0,1472.44,10,Bank Transfer,Store,2026-02-17 23:59:00,orders_batch_2,False,-2944.88,-2650.3920000000003,INVALID_QUANTITY_RANGE
O000745,2026-02-22 01:04:00,C9999,P021,1.0,1114.51,0,PromptPay,Marketplace,2026-02-24 23:59:00,orders_batch_2,False,1114.51,1114.51,FK_CUSTOMER_NOT_FOUND
O000747,2026-04-07 20:13:00,,P014,1.0,358.74,0,Credit Card,Store,2026-04-09 23:59:00,orders_batch_2,False,358.74,358.74,FK_CUSTOMER_NOT_FOUND
O000749,2026-04-18 13:19:00,C0180,P999,1.0,204.81,0,Cash,Online,2026-04-20 23:59:00,orders_batch_2,False,204.81,204.81,FK_PRODUCT_NOT_FOUND
O000762,2026-03-02 10:01:00,C0154,P025,5.0,,0,PromptPay,Store,2026-03-04 23:59:00,orders_batch_2,False,,,INVALID_PRICE_TYPE;INVALID_PRICE_RANGE
O000776,,C0120,P047,2.0,613.02,0,Cash,Online,2026-04-29 23:59:00,orders_batch_2,False,1226.04,1226.04,INVALID_DATETIME
O000786,,C0044,P008,6.0,292.37,5,Cash,Marketplace,2026-04-09 23:59:00,orders_batch_2,False,1754.22,1666.509,INVALID_DATETIME
O000791,2026-04-11 13:31:00,C0058,P040,,1472.44,0,Credit Card,Store,2026-04-13 23:59:00,orders_batch_2,False,,,INVALID_QUANTITY_TYPE;INVALID_QUANTITY_RANGE
O000801,2026-04-05 07:59:00,C0030,P044,-2.0,766.0,0,Credit Card,Marketplace,2026-04-07 23:59:00,orders_batch_2,False,-1532.0,-1532.0,INVALID_QUANTITY_RANGE
O000808,2026-02-20 13:39:00,C0168,P008,5.0,292.37,120,Cash,Store,2026-02-22 23:59:00,orders_batch_2,False,1461.85,-292.3699999999999,INVALID_DISCOUNT_RANGE
O000830,2026-04-08 01:48:00,,P009,1.0,192.56,0,Bank Transfer,Online,2026-04-10 23:59:00,orders_batch_2,False,192.56,192.56,FK_CUSTOMER_NOT_FOUND
O000834,2026-04-30 17:12:00,C0058,P032,3.0,,10,Cash,Online,2026-05-02 23:59:00,orders_batch_2,False,,,INVALID_PRICE_TYPE;INVALID_PRICE_RANGE
O000428,2026-04-04 13:52:00,C0150,P999,4.0,450.41,15,PromptPay,Marketplace,2026-04-06 23:59:00,orders_batch_2,True,1801.64,1531.394,FK_PRODUCT_NOT_FOUND
O000445,2026-03-24 01:46:00,C0015,P039,-2.0,688.83,0,PromptPay,Store,2026-03-26 23:59:00,orders_batch_2,True,-1377.66,-1377.66,INVALID_QUANTITY_RANGE
O000856,2026-05-15 06:36:00,C0089,P999,6.0,915.53,0,Bank Transfer,Marketplace,2026-05-18 23:59:00,orders_batch_3,False,5493.18,5493.18,FK_PRODUCT_NOT_FOUND
O000873,,C0109,P001,6.0,29.67,5,PromptPay,Marketplace,2026-06-09 23:59:00,orders_batch_3,False,178.02,169.119,INVALID_DATETIME
O000889,2026-06-15 21:01:00,C0163,P020,6.0,,0,Credit Card,Store,2026-06-18 23:59:00,orders_batch_3,False,,,INVALID_PRICE_TYPE;INVALID_PRICE_RANGE
O000890,2026-05-28 01:59:00,C0061,P015,-2.0,320.33,15,Bank Transfer,Store,2026-05-31 23:59:00,orders_batch_3,False,-640.66,-544.5609999999999,INVALID_QUANTITY_RANGE
O000894,2026-04-28 09:49:00,C9999,P022,5.0,840.27,10,Bank Transfer,Online,2026-05-01 23:59:00,orders_batch_3,False,4201.35,3781.2150000000006,FK_CUSTOMER_NOT_FOUND
O000900,2026-06-16 10:12:00,C0059,P011,5.0,616.6,0,Cash,Marketplace,2026-06-19 23:59:00,orders_batch_3,True,3083.0,3083.0,DUPLICATE_OLD_VERSION
O000904,2026-06-16 06:47:00,C0152,P033,,654.4,0,Bank Transfer,Marketplace,2026-06-19 23:59:00,orders_batch_3,False,,,INVALID_QUANTITY_TYPE;INVALID_QUANTITY_RANGE
O000909,2026-06-10 21:37:00,C0058,P009,1.0,192.56,120,PromptPay,Marketplace,2026-06-13 23:59:00,orders_batch_3,False,192.56,-38.51199999999999,INVALID_DISCOUNT_RANGE
O000913,2026-05-26 00:19:00,,P023,5.0,784.71,5,Bank Transfer,Marketplace,2026-05-29 23:59:00,orders_batch_3,False,3923.55,3727.3725,FK_CUSTOMER_NOT_FOUND
O000917,,C0032,P022,3.0,840.27,0,Credit Card,Store,2026-05-10 23:59:00,orders_batch_3,False,2520.81,2520.81,INVALID_DATETIME
O000963,2026-05-20 19:21:00,C0069,P999,1.0,549.89,0,Cash,Online,2026-05-23 23:59:00,orders_batch_3,False,549.89,549.89,FK_PRODUCT_NOT_FOUND
O000970,,C0040,P040,2.0,1472.44,0,Cash,Online,2026-06-20 23:59:00,orders_batch_3,False,2944.88,2944.88,INVALID_DATETIME
O000973,2026-06-16 00:22:00,C0055,P043,2.0,,10,Bank Transfer,Marketplace,2026-06-19 23:59:00,orders_batch_3,False,,,INVALID_PRICE_TYPE;INVALID_PRICE_RANGE
O000979,2026-04-16 01:32:00,C0049,P047,-2.0,613.02,0,Cash,Store,2026-04-19 23:59:00,orders_batch_3,False,-1226.04,-1226.04,INVALID_QUANTITY_RANGE
O000996,2026-05-04 19:07:00,,P035,4.0,997.99,0,Cash,Online,2026-05-07 23:59:00,orders_batch_3,False,3991.96,3991.96,FK_CUSTOMER_NOT_FOUND
O001010,2026-04-17 03:46:00,C0102,P020,2.0,62.79,120,PromptPay,Marketplace,2026-04-20 23:59:00,orders_batch_3,False,125.58,-25.115999999999993,INVALID_DISCOUNT_RANGE
O001016,2026-06-05 03:57:00,C0105,P017,5.0,,10,Bank Transfer,Store,2026-06-08 23:59:00,orders_batch_3,False,,,INVALID_PRICE_TYPE;INVALID_PRICE_RANGE
O001017,2026-05-31 23:42:00,C0010,P009,,192.56,0,Bank Transfer,Marketplace,2026-06-03 23:59:00,orders_batch_3,False,,,INVALID_QUANTITY_TYPE;INVALID_QUANTITY_RANGE
O001043,2026-04-07 15:03:00,C9999,P029,5.0,450.41,0,Bank Transfer,Store,2026-04-10 23:59:00,orders_batch_3,False,2252.05,2252.05,FK_CUSTOMER_NOT_FOUND
O001048,,C0023,P037,2.0,185.91,0,Cash,Store,2026-06-18 23:59:00,orders_batch_3,False,371.82,371.82,INVALID_DATETIME
O001067,,C0080,P042,6.0,733.19,15,Credit Card,Marketplace,2026-04-28 23:59:00,orders_batch_3,False,4399.14,3739.2690000000002,INVALID_DATETIME
O001068,2026-04-20 01:42:00,C0145,P042,-2.0,733.19,15,Bank Transfer,Online,2026-04-23 23:59:00,orders_batch_3,False,-1466.38,-1246.423,INVALID_QUANTITY_RANGE
O001070,2026-05-13 06:50:00,C0023,P999,2.0,840.27,15,Cash,Store,2026-05-16 23:59:00,orders_batch_3,False,1680.54,1428.4589999999998,FK_PRODUCT_NOT_FOUND
O001079,2026-06-12 04:11:00,,P044,2.0,766.0,0,Bank Transfer,Marketplace,2026-06-15 23:59:00,orders_batch_3,False,1532.0,1532.0,FK_CUSTOMER_NOT_FOUND
O001111,2026-04-08 03:19:00,C0137,P040,3.0,1472.44,120,PromptPay,Online,2026-04-11 23:59:00,orders_batch_3,False,4417.32,-883.4639999999997,INVALID_DISCOUNT_RANGE
O001112,2026-06-10 12:16:00,C0096,P030,3.0,,0,Bank Transfer,Marketplace,2026-06-13 23:59:00,orders_batch_3,False,,,INVALID_PRICE_TYPE;INVALID_PRICE_RANGE
O001130,2026-05-02 06:41:00,C0089,P001,,29.67,0,Credit Card,Store,2026-05-05 23:59:00,orders_batch_3,False,,,INVALID_QUANTITY_TYPE;INVALID_QUANTITY_RANGE
O001143,2026-05-02 04:03:00,C0103,P038,6.0,,0,Bank Transfer,Marketplace,2026-05-05 23:59:00,orders_batch_3,False,,,INVALID_PRICE_TYPE;INVALID_PRICE_RANGE
O001157,2026-06-17 10:55:00,C0133,P041,-2.0,1291.92,5,Credit Card,Store,2026-06-20 23:59:00,orders_batch_3,False,-2583.84,-2454.648,INVALID_QUANTITY_RANGE
O001162,2026-06-07 09:16:00,,P027,6.0,817.79,15,Cash,Store,2026-06-10 23:59:00,orders_batch_3,False,4906.74,4170.728999999999,FK_CUSTOMER_NOT_FOUND
O001164,,C0107,P008,4.0,292.37,15,Bank Transfer,Store,2026-05-09 23:59:00,orders_batch_3,False,1169.48,994.058,INVALID_DATETIME
O001177,2026-04-04 04:07:00,C0129,P999,1.0,358.74,0,PromptPay,Marketplace,2026-04-07 23:59:00,orders_batch_3,False,358.74,358.74,FK_PRODUCT_NOT_FOUND
O001179,,C0171,P031,1.0,599.9,15,Credit Card,Store,2026-05-07 23:59:00,orders_batch_3,False,599.9,509.91499999999996,INVALID_DATETIME
O001192,2026-05-02 18:39:00,C9999,P045,2.0,1459.08,10,PromptPay,Store,2026-05-05 23:59:00,orders_batch_3,False,2918.16,2626.344,FK_CUSTOMER_NOT_FOUND
O001212,2026-05-20 16:45:00,C0154,P004,5.0,1451.77,120,Bank Transfer,Marketplace,2026-05-23 23:59:00,orders_batch_3,False,7258.85,-1451.7699999999998,INVALID_DISCOUNT_RANGE
O001243,2026-04-02 11:45:00,C0078,P015,,320.33,0,Credit Card,Store,2026-04-05 23:59:00,orders_batch_3,False,,,INVALID_QUANTITY_TYPE;INVALID_QUANTITY_RANGE
O001245,2026-04-17 23:42:00,,P023,3.0,784.71,10,Bank Transfer,Online,2026-04-20 23:59:00,orders_batch_3,False,2354.13,2118.717,FK_CUSTOMER_NOT_FOUND
O001246,2026-05-07 12:27:00,C0014,P024,-2.0,241.87,0,Bank Transfer,Store,2026-05-10 23:59:00,orders_batch_3,False,-483.74,-483.74,INVALID_QUANTITY_RANGE
